T,Regret,Standard Error,Ratio of pulls,Number of Switches - 1,Number of Switches - 2,Number of Switches - 3,Number of Switches - 4,StErr of Switches - 1,StErr of Switches - 2,StErr of Switches - 3,StErr of Switches - 4,,
2500,555.9261729,4.952493114,1.36344156,215.6,127.136,100.904,85.36,0.927103015,1.338697158,1.238621686,1.066868314,,
5000,1112.744698,9.93254996,1.348130365,357.652,199.896,158.356,132.232,1.411912859,1.811626805,1.980159913,2.005658874,,
7500,1639.21285,11.99202088,1.365796423,474.6,257.968,201.68,168.044,2.084525845,2.631339492,2.930490744,2.685440984,,
10000,2184.640143,15.12799584,1.351565101,576.852,309.908,236.104,203.844,2.132204943,2.91601487,2.2274882,2.774370069,,
12500,2729.90624,21.11443938,1.353747741,673.904,356.184,276.616,231.468,2.81258452,3.380631136,3.067631477,3.038381727,,
15000,3310.930311,20.51619009,1.319726623,753.116,392.204,307.372,249.576,2.871877936,4.044276904,3.725552888,3.782843967,,
17500,3888.108515,25.66563376,1.309021736,833.408,428.552,332.148,283.6,3.255444473,3.112681468,3.932395952,3.609454252,,
20000,4394.786195,29.86185291,1.336140553,911.036,461.02,355.568,307.532,3.84880528,3.349948059,4.383369882,5.11814532,,
22500,4971.880877,31.30095796,1.318757632,986.348,497.88,379.82,316.86,3.759837486,4.264026266,4.491885128,4.771237994,,
25000,5538.018175,30.01852991,1.30517472,1059.264,539.22,405.224,350.22,4.424023291,4.64525995,4.569378566,5.454399325,,
27500,6106.673749,38.99396174,1.29886889,1121.544,556.04,437.132,365.36,5.715760779,5.306569513,4.058372521,5.03140219,,
30000,6557.861,46.81138275,1.332332324,1187.14,590.428,458.828,377.232,4.459191855,6.202084837,5.52943255,4.997174754,,
32500,7159.012104,47.69999868,1.317665844,1245.312,615.808,471.472,397.46,4.75726698,4.855515495,5.617805294,5.213358994,,
35000,7704.006142,52.39934918,1.320297886,1309.272,632.944,495.972,422.268,5.065221843,4.944404644,5.315038318,5.198780195,,
37500,8304.44416,51.75409554,1.303127974,1374.092,673.88,520.064,439.876,4.217146751,6.092334856,5.441889201,5.068316928,,
40000,8831.644923,54.28484542,1.308899601,1437.272,695.864,529.9,449.772,5.683249099,5.842428098,6.127366155,5.631653427,,
42500,9393.101426,59.86141713,1.306780527,1483.088,731.28,553.432,470.252,6.612495226,6.592208735,6.220087099,6.180254519,,
45000,9939.562819,67.55869957,1.306146637,1538.448,744.74,572.988,475.068,5.808987685,6.740329369,7.460810487,5.831200521,,
47500,10385.30655,73.43252717,1.32826039,1593.584,765.688,590.608,489.232,6.774091443,6.915652183,6.516769654,6.806940834,,
50000,11020.67792,73.20722662,1.311357243,1644.848,793.292,613.716,517.268,6.351081949,7.161048437,6.678459918,5.584205182,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2,2.001605163,,,1.658868275,1.572300529,1.569372869,1.549109653,,0.829434137,0.786150264,0.784686435,0.774554827,1.000802582
1.5,1.473125735,,,1.326988246,1.290511066,1.273586097,1.270827031,,0.88465883,0.860340711,0.849057398,0.847218021,0.982083823
1.333333333,1.332737321,,,1.215448799,1.201342802,1.170686236,1.213039442,,0.911586599,0.901007102,0.878014677,0.909779582,0.999552991
1.25,1.249590808,,,1.168244194,1.149321734,1.171585403,1.135515394,,0.934595355,0.919457387,0.937268322,0.908412315,0.999672646
1.2,1.21283664,,,1.117541964,1.101127507,1.111186627,1.078231116,,0.93128497,0.917606256,0.925988856,0.89852593,1.0106972
1.166666667,1.174325084,,,1.106613058,1.09267626,1.080605911,1.136327211,,0.948525479,0.936579652,0.926233638,0.973994752,1.006564358
1.142857143,1.130314696,,,1.093145254,1.075762101,1.070510736,1.08438646,,0.956502097,0.941291839,0.936696894,0.948838152,0.989025359
1.125,1.131313483,,,1.082666327,1.079953147,1.068206363,1.030331803,,0.962370069,0.959958353,0.949516767,0.915850491,1.005611985
1.111111111,1.113867832,,,1.073925227,1.083032056,1.066884314,1.10528309,,0.966532704,0.97472885,0.960195882,0.994754781,1.002481049
1.1,1.102682143,,,1.058795541,1.031193205,1.078741634,1.04322997,,0.962541401,0.937448368,0.980674213,0.948390882,1.002438312
1.090909091,1.073884289,,,1.058487228,1.061844472,1.049632605,1.032493979,,0.970279959,0.973357432,0.962163221,0.946452814,0.984393932
1.083333333,1.091668778,,,1.049001803,1.042985766,1.027557167,1.053622174,,0.968309356,0.962756092,0.948514308,0.972574315,1.007694257
1.076923077,1.076126989,,,1.051360623,1.027826855,1.05196491,1.062416344,,0.976263436,0.954410651,0.976824559,0.986529462,0.999260776
1.071428571,1.077938414,,,1.049508429,1.064675548,1.048575323,1.041698637,,0.979541201,0.993697178,0.978670301,0.972252061,1.006075853
1.066666667,1.063484172,,,1.045979454,1.032623019,1.018913057,1.022497249,,0.980605738,0.96808408,0.955230991,0.958591171,0.997016411
1.0625,1.063573265,,,1.031877056,1.050895002,1.044408379,1.045534182,,0.971178406,0.989077649,0.982972592,0.984032171,1.001010132
1.058823529,1.058176886,,,1.037327522,1.018406082,1.035335868,1.010241317,,0.979698215,0.961827967,0.977817208,0.9541168,0.999389281
1.055555556,1.044845406,,,1.035838715,1.028127937,1.03075108,1.029814679,,0.981320888,0.974015941,0.976501023,0.975613907,0.989853542
1.052631579,1.061179838,,,1.032168998,1.036051238,1.039125782,1.057306145,,0.980560548,0.984248676,0.987169493,1.004440838,1.008120846